time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-03-12T22:58:50.270Z,37.235,142.257,35,4.1,mb,16,138.5,,1.09,us,usp000hwn9,2014-11-07T01:44:03.748Z,"off the east coast of Honshu, Japan",earthquake,,,,5,reviewed,us,us
2011-03-12T22:53:32.450Z,39.603,143.679,20.2,4.7,mb,94,125.7,,1.05,us,usp000hwn8,2014-11-07T01:44:03.741Z,"off the east coast of Honshu, Japan",earthquake,,15.7,,48,reviewed,us,us
2011-03-12T22:50:58.200Z,36.16,141.811,40.7,4.6,mb,42,119,,0.76,us,usp000hwn7,2014-11-07T01:44:03.738Z,"near the east coast of Honshu, Japan",earthquake,,10,,8,reviewed,us,us
2011-03-12T22:50:42.680Z,36.247,141.868,35,4,mb,9,94.2,,1.01,us,usp000hwn6,2014-11-07T01:44:03.736Z,"near the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T22:50:01.520Z,36.011,141.253,35,4.1,mb,34,127,,1.34,us,usp000hwn5,2014-11-07T01:44:03.733Z,"near the east coast of Honshu, Japan",earthquake,,,,5,reviewed,us,us
2011-03-12T22:44:57.850Z,35.964,141.838,44.7,4.4,mb,45,118.7,,0.85,us,usp000hwn4,2014-11-07T01:44:03.730Z,"near the east coast of Honshu, Japan",earthquake,,15.4,,8,reviewed,us,us
2011-03-12T22:44:32.440Z,36.082,141.062,49.1,4.1,mb,38,127.2,,0.91,us,usp000hwn3,2014-11-07T01:44:03.727Z,"near the east coast of Honshu, Japan",earthquake,,11.1,,3,reviewed,us,us
2011-03-12T22:42:36.790Z,36.343,142.138,10.3,4.8,mb,156,81.5,,0.76,us,usp000hwn2,2014-11-07T01:44:03.716Z,"off the east coast of Honshu, Japan",earthquake,,10.4,,81,reviewed,us,us
2011-03-12T22:37:56.260Z,36.602,143.033,43.3,4.3,mb,15,132.6,,0.81,us,usp000hwn1,2014-11-07T01:44:03.714Z,"off the east coast of Honshu, Japan",earthquake,,12.5,,6,reviewed,us,us
2011-03-12T22:36:44.300Z,39.688,142.353,78.2,4.6,mb,46,134.4,,0.79,us,usp000hwn0,2014-11-07T01:44:03.711Z,"near the east coast of Honshu, Japan",earthquake,,7.7,,7,reviewed,us,us
2011-03-12T22:34:07.010Z,39.173,142.788,35,4.1,mb,14,226.6,,0.66,us,usp000hwmy,2014-11-07T01:44:03.707Z,"near the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T22:31:27.320Z,39.175,142.27,31,5.3,mwc,353,56.3,,0.72,us,usp000hwmx,2014-11-07T01:44:03.673Z,"near the east coast of Honshu, Japan",earthquake,,3.5,,,reviewed,us,gcmt
2011-03-12T22:30:00.470Z,37.497,143.786,35,4,mb,15,81.8,,0.87,us,usp000hwmw,2014-11-07T01:44:03.672Z,"off the east coast of Honshu, Japan",earthquake,,,,4,reviewed,us,us
2011-03-12T22:27:12.130Z,39.266,142.34,49.4,4.6,mb,49,130.8,,0.6,us,usp000hwmv,2014-11-07T01:44:03.668Z,"near the east coast of Honshu, Japan",earthquake,,5.3,,10,reviewed,us,us
2011-03-12T22:25:43.390Z,36.46,142.675,26.1,4.4,mb,41,127.4,,0.73,us,usp000hwmu,2014-11-07T01:44:03.664Z,"off the east coast of Honshu, Japan",earthquake,,15.4,,8,reviewed,us,us
2011-03-12T22:23:26.580Z,37.844,143.927,35,4.6,mb,49,91.6,,0.71,us,usp000hwmt,2014-11-07T01:44:03.660Z,"off the east coast of Honshu, Japan",earthquake,,,,11,reviewed,us,us
2011-03-12T22:20:38.100Z,37.039,143.357,35,4.1,mb,8,86.4,,0.59,us,usp000hwms,2014-11-07T01:44:03.659Z,"off the east coast of Honshu, Japan",earthquake,,,,3,reviewed,us,us
2011-03-12T22:18:58.830Z,37.611,141.745,69,4.2,mb,16,81.1,,0.96,us,usp000hwmr,2014-11-07T01:44:03.656Z,"near the east coast of Honshu, Japan",earthquake,,17.4,,3,reviewed,us,us
2011-03-12T22:12:46.270Z,37.681,141.889,16,5.8,mww,516,22.7,,0.9,us,usp000hwmq,2015-06-30T16:59:03.796Z,"near the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
2011-03-12T22:11:50.790Z,34.001,142.392,10,4.2,mb,15,126,,1.11,us,usp000hwmp,2014-11-07T01:44:03.610Z,"off the east coast of Honshu, Japan",earthquake,,,,4,reviewed,us,us
2011-03-12T22:11:19.910Z,39.172,144.479,30.9,4.4,mb,36,157.9,,0.71,us,usp000hwmn,2014-11-07T01:44:03.607Z,"off the east coast of Honshu, Japan",earthquake,,13.7,,5,reviewed,us,us
